time,lat,lon,SPM,TUR,CHL,site
2022-08-17,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-18,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-19,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-20,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-21,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-22,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-23,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-24,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-25,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-26,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-27,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-28,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-29,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-30,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-08-31,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-01,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-02,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-03,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-04,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-05,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-06,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-07,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-08,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-09,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-10,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-11,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-12,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-13,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-14,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-15,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-16,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-17,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-18,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-19,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-20,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-21,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-22,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-23,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-24,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-25,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-26,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-27,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-28,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-29,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-09-30,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-01,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-02,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-04,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-05,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-06,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-07,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-08,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-09,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-10,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-11,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-12,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-13,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-14,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-15,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-16,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-17,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-18,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-19,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-20,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-22,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-23,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-24,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-25,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-26,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-29,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-30,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-10-31,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
